#TUCAN Gradiometer B-field Measurements
#
#Scan freq: 5000 Hz
#Sample freq: 8.33 Hz
#Range of Fluxgate: 1000 μ T
#Fluxgate 2 Serial No. 409
#	 x-offset: 0.4813 ± 0.0175 μ T
#	 y-offset: 0.5278 ± 0.0009 μ T
#Date: 2023-04-17 16:03:03.723683
#Start Time: 2023-04-17 16:02:03.503150
#End Time: 2023-04-17 16:02:58.478684
#Experimenters: Emma
#Comments: FG offsets listed are not for this FG
# 
Time,Bx-2 (μ T),By-2 (μ T),Bz-2 (μ T)
2023-04-17 16:02:03.503150,-47.849438629219776,0.6309274864713643,2.6541744918893073
2023-04-17 16:02:05.422303,-47.84785895479331,0.6421431748992745,2.659387417496646
2023-04-17 16:02:07.077278,-47.852755945515355,0.633139030668417,2.6541744918893073
2023-04-17 16:02:08.629978,-47.21962243538769,-0.7351749575366284,3.5718939259568288
2023-04-17 16:02:10.236946,-36.46488300512033,-5.132500437724957,16.28634964277626
2023-04-17 16:02:11.932446,-6.261034068758136,26.501999940594033,50.52352675945622
2023-04-17 16:02:13.671109,-6.586447000610178,7.309520143071495,57.355763284593195
2023-04-17 16:02:15.039657,-6.143664258871695,8.583099336234227,57.47883960161017
2023-04-17 16:02:16.468261,-6.854991653109437,9.207802490900576,57.37804025596597
2023-04-17 16:02:17.889001,-6.749785336306786,10.91791552734685,57.714090739014864
2023-04-17 16:02:19.326839,-5.663917135553902,13.2492558789545,57.83195329677437
2023-04-17 16:02:20.828567,-5.980483890617734,13.613587056157483,57.78929526648607
2023-04-17 16:02:22.315722,-5.988066327864772,14.529628758422405,57.66779887651683
2023-04-17 16:02:23.800813,-5.719047773037573,14.395334959366664,57.6790163585556
2023-04-17 16:02:25.289744,-4.437773845730817,10.154178792481616,57.94160023388577
2023-04-17 16:02:26.854110,-6.240498301214075,11.861447960242003,57.85201837028035
2023-04-17 16:02:28.392345,-6.687546163904017,11.742795438958638,57.789927237305164
2023-04-17 16:02:29.941525,-6.093114677224776,12.144412894487687,57.86734366264318
2023-04-17 16:02:31.533359,-6.549324651588222,11.685128101717055,57.737315666616276
2023-04-17 16:02:33.132473,-7.333790971771351,10.480275735129908,57.32068890413393
2023-04-17 16:02:34.725330,-6.759737285193523,11.770760147703186,57.439183432712525
2023-04-17 16:02:36.398015,-6.519468804928011,12.218827458435044,57.501906536506795
2023-04-17 16:02:38.053212,-7.486071586482694,11.315899150666155,57.29698999841821
2023-04-17 16:02:39.945734,-6.710135508202483,8.356853783001498,56.266561577898756
2023-04-17 16:02:41.656215,-5.571032279277688,8.563192255433023,56.4722680795112
2023-04-17 16:02:43.371693,-5.488257339330858,8.795757516856611,56.48190563450225
2023-04-17 16:02:45.145950,-6.543479856210296,7.919055998079784,56.09466551510741
2023-04-17 16:02:46.908414,-1.395162932914218,6.598552971599929,55.53853119431187
2023-04-17 16:02:48.680086,-3.2659713561781696,6.757019654485702,55.17530596604229
2023-04-17 16:02:50.498129,-8.423450391147753,3.4163234583618305,51.45773762276985
2023-04-17 16:02:52.059065,-26.513565988153687,-15.067403061422056,32.581243234790236
2023-04-17 16:02:53.603617,-0.04785861458117324,5.526447179412571,47.208681820646234
2023-04-17 16:02:55.160673,-5.939412355529612,15.489276447204247,39.75711389280514
2023-04-17 16:02:56.708333,-7.059559491336813,15.267454689705119,40.18732802789782
2023-04-17 16:02:58.478684,-7.072038919305896,15.29494542033535,40.199809451574765
