#TUCAN Gradiometer B-field Measurements
#
#Scan freq: 5000 Hz
#Sample freq: 8.33 Hz
#Range of Fluxgate: 500 μ T
#Fluxgate 1 Serial No. 523
#	 x-offset: 0.5896 ± 0.0015 μ T
#	 y-offset: 0.5861 ± 0.0007 μ T
#	 z-offset: 0.4189 ± 0.0007 μ T
#Date: 2023-01-10 13:47:09.065110
#Start Time: 2023-01-10 13:44:03.010861
#End Time: 2023-01-10 13:46:59.452913
#Experimenters: Emma
#Comments: Square wave coil on, F=0.1Hz, Vpp= 5V, duty=50%, 21,5 ohm resistor in series, FG might have offset?
# 
Time,Bx (μ T),By (μ T),Bz (μ T)
2023-01-10 13:44:03.010861,17.612704570922688,-19.81986526458968,28.416403715899836
2023-01-10 13:44:03.479032,20.048952078498587,-17.192936746224063,30.80635936097769
2023-01-10 13:44:03.893164,20.043106348422043,-17.193726583437297,30.695448482228134
2023-01-10 13:44:04.295390,20.039393519859914,-17.196017111355673,30.102501861220844
2023-01-10 13:44:04.671335,20.032520837202355,-17.19909747648728,30.10463476273526
2023-01-10 13:44:05.061603,20.03133589191657,-17.197043899732876,30.100289963354044
2023-01-10 13:44:05.458736,20.035838684002556,-17.19285776250274,30.097604087372932
2023-01-10 13:44:05.864868,20.03520671318347,-17.196333046240966,30.102343868516073
2023-01-10 13:44:06.275662,20.0416844140791,-17.190567234584364,30.099499999830186
2023-01-10 13:44:06.652826,20.031651877326112,-17.19356861599465,30.100131970649276
2023-01-10 13:44:07.024616,20.036628647526413,-17.191041136912304,30.09926301077303
2023-01-10 13:44:07.415130,20.03204685908804,-17.193489632273327,30.100763941468355
2023-01-10 13:44:07.801679,20.027386074297283,-17.191751990404214,30.10258085757323
2023-01-10 13:44:08.365169,20.028808008640226,-17.198228655552725,30.104476770030487
2023-01-10 13:44:08.763002,20.030703921097484,-17.196569997404936,30.211200842103608
2023-01-10 13:44:09.171460,20.038840545393214,-17.204152434651974,30.80635936097769
2023-01-10 13:44:09.586875,20.039867497974228,-17.202572760225507,30.808729251549266
2023-01-10 13:44:10.007163,20.038682552688442,-17.20075613463507,30.80256753606318
2023-01-10 13:44:10.429024,20.040894450555243,-17.20644296257035,30.80533240839668
2023-01-10 13:44:10.904245,20.041447425021943,-17.200677150913748,30.809519215073124
2023-01-10 13:44:11.351379,20.04097344690763,-17.19957137881522,30.80367348499658
2023-01-10 13:44:11.803505,20.039156530802757,-17.20099308579904,30.80209355794887
2023-01-10 13:44:12.256877,20.039393519859914,-17.203283613717417,30.80683333909201
2023-01-10 13:44:12.720237,20.0333897970786,-17.19664898112626,30.809835200482667
2023-01-10 13:44:13.198872,20.0461082098127,-17.200124264864485,30.802804525120337
2023-01-10 13:44:13.548994,20.035443702240627,-17.200835118356395,30.80090861266308
2023-01-10 13:44:13.903583,20.035838684002556,-17.198860525323312,30.423780026373603
2023-01-10 13:44:14.252690,20.033231804373827,-17.197912720667432,30.096577134791914
2023-01-10 13:44:14.602505,20.028413026878297,-17.19783373694611,30.106056697078206
2023-01-10 13:44:14.979748,20.029913957573626,-17.197201867175522,30.101158923230287
2023-01-10 13:44:15.340923,20.026280125363883,-17.20075613463507,30.10795260953546
2023-01-10 13:44:15.739801,20.030861913802255,-17.20407345093065,30.097209105611
