,Time,Bx (μ T)
0,2022-11-08 16:21:09.763488,4.882698060594139
1,2022-11-08 16:21:10.151689,4.895801975527884
2,2022-11-08 16:21:10.497289,4.895850163302839
3,2022-11-08 16:21:10.782945,4.895843053631125
4,2022-11-08 16:21:11.081944,4.895744308190642
5,2022-11-08 16:21:11.361510,4.895865962573316
6,2022-11-08 16:21:11.637489,4.895753787752929
7,2022-11-08 16:21:11.921600,4.895861222792173
8,2022-11-08 16:21:12.219694,4.895803555454932
9,2022-11-08 16:21:12.508871,4.895828044324171
10,2022-11-08 16:21:12.812885,4.895963128086751
11,2022-11-08 16:21:13.108849,4.896050024074375
12,2022-11-08 16:21:13.395573,4.8960460742567555
13,2022-11-08 16:21:13.682269,4.895904670785985
14,2022-11-08 16:21:13.974108,4.895988406919514
15,2022-11-08 16:21:14.268483,4.895843053631125
16,2022-11-08 16:21:14.561386,4.895789336111502
