#TUCAN Gradiometer B-field Measurements
#
#Scan freq: 5000 Hz
#Sample freq: 8.33 Hz
#Range of Fluxgate: 500 μ T
#Fluxgate 1 Serial No. 523
#	 x-offset: 0.5896 ± 0.0015 μ T
#	 y-offset: 0.5861 ± 0.0007 μ T
#	 z-offset: 0.4189 ± 0.0007 μ T
#Fluxgate 2 Serial No. 2122
#	 x-offset: 0.4813 ± 0.0175 μ T
#	 y-offset: 0.5278 ± 0.0009 μ T
#Date: 2023-01-10 16:20:18.593908
#Start Time: 2023-01-10 16:16:56.142689
#End Time: 2023-01-10 16:17:42.036156
#Experimenters: Emma
#Comments: SquareCoil, 1mHz, 5V, 21.5 ohm resistor in series, FG might have offset?
# 
Time,Bx (μ T),By (μ T),Bz (μ T),Bx-2 (μ T),By-2 (μ T)
2023-01-10 16:16:56.142689,17.71366190927165,-19.922781053473955,27.834437587874163,-31.68646940018698,27.742727760026355
2023-01-10 16:16:56.695700,20.148724471561763,-17.30185529792891,30.221075386151824,-26.958691616530018,29.963015039450145
2023-01-10 16:16:57.201738,20.13213523756076,-17.31022757238918,30.12517381435555,-5.775848190177567,37.214469407427714
2023-01-10 16:16:57.694706,20.172028395515554,-17.331790128310445,29.50615839706097,0.1812259324877914,36.31770281514491
2023-01-10 16:16:58.147297,20.136322044237204,-17.307542125864188,29.53530805109131,-7.677454111735756,33.17762940635311
2023-01-10 16:16:58.611596,20.20575983798426,-17.327998909686926,29.471715987420794,-9.687188699486068,23.16391704946807
2023-01-10 16:16:59.065823,20.20891969207969,-17.339846467885422,29.456469691410348,15.686746838489672,-4.313158298713574
2023-01-10 16:16:59.567948,20.14493264664725,-17.333685737622204,29.51413702865193,18.635380486909888,-11.71306416577329
2023-01-10 16:17:00.012718,20.118152883188486,-17.323022935243557,29.54328668268226,7.840592130481855,-10.654666503296653
2023-01-10 16:17:00.484057,20.125025565846045,-17.32381277245679,29.538230916129578,4.860802320680705,-11.75768996832096
2023-01-10 16:17:00.962369,20.119416824826658,-17.31709915614431,29.544629620672826,8.950095899739427,2.8069513175509204
