#Gradiometer B-field Measurements
#
#Scan freq: 5000 Hz
#Sample freq: 8.33 Hz
#Range of Fluxgate: 100 μ T
#Date: 2022-11-25 15:58:34.709291
#Start Time: 2022-11-25 15:58:08.620920
#End Time: 2022-11-25 15:58:33.125356
#Experimenters: Emma
# 
Time,Bx (μ T),By (μ T),Bz (μ T)
2022-11-25 15:58:08.620920,0.5416767539909415,-0.09634557739082084,1.3794646695825576
2022-11-25 15:58:09.111182,1.0437617704841613,0.4087729033907408,1.8773312808583797
2022-11-25 15:58:09.532581,1.0436511755908213,0.4082990010628009,1.878152842923191
2022-11-25 15:58:09.926841,1.0436037777793898,0.40863073269235883,1.8776630655383997
2022-11-25 15:58:10.293324,1.0443779420327701,0.4091994154858867,1.878121244382237
2022-11-25 15:58:10.669678,1.0449309164994702,0.40766713129221444,1.8778684560546024
2022-11-25 15:58:11.055764,1.0453732960728304,0.4078882857119197,1.8775524706450597
2022-11-25 15:58:11.463780,1.0445675332784958,0.40787248896765504,1.8781844414641455
2022-11-25 15:58:11.885222,1.0441093544346587,0.40728800942986254,1.879416784561363
2022-11-25 15:58:12.269936,1.0463528508424134,0.405724131747661,1.8797643685118601
2022-11-25 15:58:12.656697,1.0492283180692539,0.4028333275472278,1.8829400218777663
2022-11-25 15:58:13.040907,1.0492757158806854,0.4028333275472278,1.881928868567229
2022-11-25 15:58:13.438796,1.0435879785089128,0.4037811322031075,1.880949313797646
2022-11-25 15:58:13.844352,1.0002505795901016,0.4017749456814954,1.8865422555465559
2022-11-25 15:58:14.248969,0.9411297094646215,0.4048869043016339,1.8947262776537173
2022-11-25 15:58:14.654280,0.9095469677808068,0.4028175308029631,1.8996398507721097
2022-11-25 15:58:15.174478,0.9016947303536654,0.3999267266025299,1.9022625296713158
2022-11-25 15:58:15.608659,0.9022161062794112,0.4006533768387044,1.9028471026789704
2022-11-25 15:58:16.040758,0.902421496795614,0.40025845823208783,1.902594314351336
2022-11-25 15:58:16.491166,0.902405697525137,0.3991052959007675,1.902594314351336
2022-11-25 15:58:16.939249,0.90349584718806,0.39760460519562457,1.904126843587619
2022-11-25 15:58:17.401174,0.9028006792870656,0.39739924752018396,1.9038424567190304
2022-11-25 15:58:17.862638,0.902200307008934,0.39878936101547424,1.9032104858999446
2022-11-25 15:58:18.339736,0.9021845077384569,0.3982522717104757,1.9028471026789704
2022-11-25 15:58:18.808700,0.9025794895003856,0.3985524098515043,1.903131489547559
2022-11-25 15:58:19.190622,0.9022951026317969,0.3982680684547404,1.9024521209170417
2022-11-25 15:58:19.565849,0.902200307008934,0.398426035897387,1.9033842778751933
2022-11-25 15:58:19.946656,0.9022161062794112,0.3983944424088577,1.9032262851704218
2022-11-25 15:58:20.330695,0.9025004931479997,0.39777836938253586,1.9024837194579958
2022-11-25 15:58:20.713121,0.9026742851232484,0.3982206782219464,1.9029576975723104
2022-11-25 15:58:21.094935,0.9025636902299083,0.39807850752356444,1.9020413398846359
2022-11-25 15:58:21.474318,0.901868522328914,0.3985524098515043,1.9039056538009391
2022-11-25 15:58:21.856818,0.9019317194108225,0.3985050196187103,1.902578515080859
2022-11-25 15:58:22.234725,0.9019001208698683,0.3989631252023855,1.9038108581780762
2022-11-25 15:58:22.617680,0.9027848800165884,0.39820488147768174,1.9025311172694273
2022-11-25 15:58:22.999276,0.9024846938775227,0.3987577675269449,1.9032104858999446
2022-11-25 15:58:23.380479,0.902405697525137,0.3981732879891524,1.9029576975723104
2022-11-25 15:58:23.760312,0.9028322778280198,0.398378645664593,1.9029892961132646
2022-11-25 15:58:24.145130,0.902310901902274,0.39845762938591633,1.9033210807932845
2022-11-25 15:58:24.525446,0.9026742851232484,0.39844183264165167,1.9035896683913962
2022-11-25 15:58:25.027530,0.9021055113860711,0.39866298706135694,1.9033684786047163
2022-11-25 15:58:25.421080,0.9032114603194713,0.3970833126348907,1.9044112304562077
2022-11-25 15:58:25.820340,0.9018527230584368,0.39703592240209673,1.9042690370219133
2022-11-25 15:58:26.214499,0.9018527230584368,0.39856820659576897,1.9041584421285735
2022-11-25 15:58:26.609453,0.902405697525137,0.4034651973178143,1.8995134566082925
2022-11-25 15:58:27.004136,0.9078880443807065,0.41523377179498766,1.8706797879875012
2022-11-25 15:58:27.399860,0.944763541674365,0.4166870722673366,1.8628907476422683
2022-11-25 15:58:27.793359,0.9618267537896827,0.4127536829454357,1.8650710469681144
2022-11-25 15:58:28.188244,1.0074076491162487,0.3938765735491643,1.8865580548170326
2022-11-25 15:58:28.582545,1.0391009856934033,0.39341846796548907,1.8816760802395949
2022-11-25 15:58:28.977764,1.0461790588671647,0.39213893168005143,1.8802067480852203
2022-11-25 15:58:29.373792,1.04459913181945,0.3952824837887192,1.8784056312508255
2022-11-25 15:58:29.780627,1.045768277834759,0.3946190205296034,1.877805258972694
2022-11-25 15:58:30.187070,1.0465266428176618,0.3940661344803402,1.8787690144718
2022-11-25 15:58:30.595496,1.048390956733965,0.3934500614540184,1.8788006130127541
2022-11-25 15:58:31.000897,1.0486121465206453,0.39442945959842746,1.8787690144718
2022-11-25 15:58:31.408654,1.0493863107740253,0.3943346791328395,1.8787690144718
2022-11-25 15:58:31.834297,1.050097277945497,0.3938765735491643,1.8787374159308456
2022-11-25 15:58:32.300102,1.0490229275530512,0.39346585819828306,1.8795747772661342
2022-11-25 15:58:32.715360,1.0508398436579227,0.3932920940113718,1.8784846276032114
2022-11-25 15:58:33.125356,1.0507292487645827,0.3936238256409297,1.8785952224965512
