time,position,x1,y1,z1,x2,y2,z2
2020-03-06 18:37:01.145011,0.010000000000000009,-1.458673357963562,-2.712785482406616,1.107565999031067,-0.004142874851822853,-0.002518314868211746,-0.0010196706280112267
2020-03-06 18:37:01.185931,0.09250000000000001,-1.4588931798934937,-2.712817668914795,1.1076017618179321,-0.004081151448190212,-0.002472639549523592,-0.0010739872232079506
2020-03-06 18:37:01.226213,0.17500000000000002,-1.4586327075958252,-2.713005304336548,1.1074844598770142,-0.004088558256626129,-0.0025220182724297047,-0.0010542357340455055
2020-03-06 18:37:01.266390,0.2575,-1.4587042331695557,-2.713041067123413,1.1073721647262573,-0.004112013150006533,-0.0025022667832672596,-0.0010838629677891731
2020-03-06 18:37:01.306648,0.34,-1.4586117267608643,-2.7129695415496826,1.1073499917984009,-0.0040996684692800045,-0.002513376995921135,-0.0010591736063361168
2020-03-06 18:37:01.346946,0.42250000000000004,-1.4584128856658936,-2.7131423950195312,1.1073647737503052,-0.004098434001207352,-0.002451653592288494,-0.0010875663720071316
2020-03-06 18:37:01.387164,0.505,-1.458432674407959,-2.7131879329681396,1.1072907447814941,-0.00410213740542531,-0.0024689361453056335,-0.0010863319039344788
2020-03-06 18:37:01.428850,0.5875,-1.4583524465560913,-2.713268280029297,1.1071919202804565,-0.004073744639754295,-0.0025096735917031765,-0.001071518287062645
2020-03-06 18:37:01.469690,0.67,-1.4583895206451416,-2.7132558822631836,1.1070870161056519,-0.004112013150006533,-0.0025035012513399124,-0.0010542357340455055
2020-03-06 18:37:01.509793,0.7525000000000001,-1.4582351446151733,-2.7133917808532715,1.1070475578308105,-0.004076213575899601,-0.002525721676647663,-0.0011147246696054935
2020-03-06 18:37:01.550061,0.8350000000000001,-1.4580931663513184,-2.7134311199188232,1.1069968938827515,-0.004079916980117559,-0.002512142527848482,-0.0011060833930969238
2020-03-06 18:37:01.590290,0.9175000000000001,-1.4581561088562012,-2.713294267654419,1.1068376302719116,-0.004124357830733061,-0.002480046357959509,-0.0010900353081524372
2020-03-06 18:37:01.630486,1.0,-1.4579216241836548,-2.713165760040283,1.1068179607391357,-0.004084854852408171,-0.0025380663573741913,-0.0010209050960838795
2020-03-06 18:37:01.670631,1.0825,-1.457879662513733,-2.7131545543670654,1.1068919897079468,-0.004094730596989393,-0.0024886876344680786,-0.001064111478626728
2020-03-06 18:37:01.710873,1.165,-1.4576747417449951,-2.7129955291748047,1.106879711151123,-0.004087323788553476,-0.0025035012513399124,-0.0011171936057507992
